Date,Open,High,Low,Close,Adj Close,Volume
2010-02-17,328.950012,339.000000,326.000000,329.850006,307.959747,65856
2010-02-18,331.000000,356.000000,329.000000,344.549988,321.684204,204764
2010-02-19,340.600006,350.950012,336.000000,337.799988,315.382172,141236
2010-02-22,339.000000,346.000000,333.000000,340.149994,317.576172,57738
2010-02-23,345.000000,347.500000,333.125000,343.075012,320.307068,94812
2010-02-24,338.000000,341.000000,333.225006,336.225006,313.911682,47774
2010-02-25,342.399994,342.399994,331.600006,338.399994,315.942291,130306
2010-02-26,342.250000,349.500000,336.500000,341.500000,318.836639,51768
2010-03-02,344.600006,358.500000,339.049988,355.049988,331.487366,134002
2010-03-03,360.000000,365.000000,352.000000,357.325012,333.611389,161386
2010-03-04,350.600006,357.524994,349.549988,351.674988,328.336334,37048
2010-03-05,352.000000,363.250000,350.024994,360.200012,336.295593,121086
2010-03-08,362.500000,362.500000,354.000000,356.475006,332.817749,41488
2010-03-09,353.000000,358.475006,350.024994,352.600006,329.199890,38266
2010-03-10,352.500000,369.000000,352.500000,358.975006,335.151886,187436
2010-03-11,358.975006,360.000000,352.500000,353.674988,330.203583,26444
2010-03-12,356.524994,360.500000,350.975006,352.274994,328.896576,44972
2010-03-15,360.000000,364.500000,352.500000,360.475006,336.552307,116602
2010-03-16,362.500000,363.250000,353.549988,355.450012,331.860901,77804
2010-03-17,355.500000,359.850006,352.500000,353.399994,329.946838,34774
2010-03-18,357.450012,364.000000,355.125000,357.774994,334.031494,157876
2010-03-19,362.299988,380.000000,355.575012,368.225006,343.788055,197942
2010-03-22,369.500000,373.000000,361.524994,363.725006,339.586700,157376
2010-03-23,367.500000,369.950012,361.000000,362.225006,338.186218,65610
2010-03-25,352.799988,367.500000,352.799988,354.600006,331.067230,100198
2010-03-26,356.250000,363.799988,355.500000,357.500000,333.774811,73088
2010-03-29,359.750000,368.500000,357.000000,363.950012,339.796722,91712
2010-03-30,365.000000,367.500000,359.200012,361.100006,337.135864,43484
2010-03-31,360.000000,376.125000,360.000000,364.774994,340.566986,120420
2010-04-01,365.750000,372.125000,365.750000,368.274994,343.834747,39026
2010-04-05,367.000000,372.500000,362.674988,365.024994,340.800354,25752
2010-04-06,369.950012,369.950012,363.549988,365.774994,341.500549,22512
2010-04-07,364.000000,369.399994,362.500000,365.774994,341.500549,27002
2010-04-08,347.500000,367.450012,347.500000,365.575012,341.313904,47416
2010-04-09,347.299988,369.000000,347.299988,362.024994,337.999542,22644
2010-04-12,362.649994,367.450012,355.500000,362.899994,338.816406,122522
2010-04-13,364.500000,364.500000,359.000000,362.549988,338.489655,27014
2010-04-15,356.149994,393.475006,356.149994,385.450012,359.869843,355914
2010-04-16,388.500000,394.274994,382.950012,384.575012,359.052948,171256
2010-04-19,376.125000,388.000000,373.750000,376.325012,351.350464,92194
2010-04-20,382.000000,400.700012,372.000000,389.424988,363.581116,332108
2010-04-21,390.000000,397.075012,382.000000,392.850006,366.778809,153462
2010-04-22,391.000000,410.000000,390.750000,391.975006,365.961884,166016
2010-04-23,400.000000,400.000000,388.500000,391.750000,365.751770,56758
2010-04-26,387.524994,399.250000,380.500000,382.375000,356.998993,83426
2010-04-27,382.549988,391.975006,382.500000,385.325012,359.753204,95538
2010-04-28,382.549988,389.500000,380.500000,386.325012,360.686798,68922
2010-04-29,387.000000,391.475006,383.024994,384.174988,358.679504,28266
2010-04-30,389.000000,400.500000,385.500000,392.200012,366.171997,285844
2010-05-03,392.075012,393.950012,385.075012,386.325012,360.686798,27928
2010-05-04,389.899994,390.500000,378.000000,382.450012,357.068970,35362
2010-05-05,380.000000,385.000000,365.000000,378.899994,353.754639,35778
2010-05-06,378.899994,385.350006,375.000000,375.899994,350.953644,20000
2010-05-07,373.500000,373.500000,363.075012,367.924988,343.507874,32890
2010-05-10,349.549988,371.000000,349.549988,365.649994,341.383972,76824
2010-05-11,370.000000,373.450012,361.000000,362.225006,338.186218,80914
2010-05-12,362.000000,365.424988,357.000000,358.700012,334.895111,42638
2010-05-13,360.500000,372.250000,360.500000,367.500000,343.111206,107764
2010-05-14,369.875000,369.875000,359.000000,360.225006,336.318909,41188
2010-05-17,355.000000,359.000000,355.000000,355.750000,332.140900,25224
2010-05-18,355.049988,359.750000,351.000000,353.750000,330.273651,35476
2010-05-19,351.049988,352.000000,345.549988,347.125000,324.088287,42616
2010-05-20,347.125000,352.500000,333.149994,335.725006,313.444824,160312
2010-05-21,332.500000,347.500000,328.000000,344.700012,321.824219,115148
2010-05-24,346.500000,352.000000,342.174988,344.075012,321.240662,47924
2010-05-25,340.500000,343.250000,332.500000,333.174988,311.064117,21366
2010-05-26,338.000000,354.500000,338.000000,351.725006,328.382996,111170
2010-05-27,355.000000,385.000000,353.000000,378.674988,353.544525,380552
2010-05-28,386.500000,394.450012,375.575012,382.000000,356.648834,186072
