Date,Open,High,Low,Close,Adj Close,Volume
2010-02-17,29.147436,32.693710,28.763662,30.085012,27.516228,2296977
2010-02-18,30.119019,30.410494,28.962837,29.273743,26.774229,294736
2010-02-19,29.059996,29.730387,28.671362,28.923973,26.454325,296948
2010-02-22,30.119019,30.119019,28.613068,28.715082,26.263268,123890
2010-02-23,28.477045,29.050280,28.477045,28.919115,26.449879,66561
2010-02-24,28.817099,28.855963,28.185572,28.360456,25.938923,52337
2010-02-25,28.467331,29.050280,27.505465,27.704639,25.339100,247153
2010-02-26,27.471458,30.604809,27.471458,29.181442,26.689810,1328308
2010-03-02,29.341753,31.464659,29.341753,30.570803,27.960543,650846
2010-03-03,31.576389,31.673548,30.604809,31.212048,28.547031,335720
2010-03-04,31.197474,31.513237,30.896282,31.090599,28.435955,149848
2010-03-05,31.556957,31.576389,30.619383,31.314062,28.640341,114586
2010-03-08,31.770706,32.062180,31.095457,31.168325,28.507048,97150
2010-03-09,31.459801,31.576389,30.653387,31.333494,28.658113,172214
2010-03-10,31.382074,31.663832,30.905998,31.207190,28.542591,69515
2010-03-11,31.148893,31.440369,30.119019,30.376488,27.782816,141892
2010-03-12,30.595093,31.333494,30.313334,31.071169,28.418186,127976
2010-03-15,30.629099,31.212048,30.119019,30.395920,27.800592,46305
2010-03-16,30.381346,30.871994,29.978140,30.293903,27.707281,34129
2010-03-17,30.993441,30.993441,30.148167,30.444498,27.845020,28335
2010-03-18,31.576389,31.576389,30.221033,30.361914,27.769484,35972
2010-03-19,30.313334,30.847704,30.216175,30.230749,27.649519,43002
2010-03-22,29.730387,30.507650,29.730387,30.182171,27.605095,121430
2010-03-23,30.701967,30.701967,29.642942,29.803253,27.258532,101062
2010-03-25,29.633228,29.633228,29.438911,29.599222,27.071918,93352
2010-03-26,29.730387,31.163467,29.579790,30.444498,27.845020,439325
2010-03-29,30.653387,31.950449,30.313334,30.643673,28.027189,254862
2010-03-30,30.896282,31.867865,30.769978,31.425795,28.742529,165184
2010-03-31,31.479233,31.576389,30.760262,31.124605,28.467058,60540
2010-04-01,30.799126,31.770706,30.799126,31.644402,28.942471,130086
2010-04-05,31.746416,32.353657,31.352926,32.033031,29.297918,137291
2010-04-06,32.547970,32.820015,31.629827,32.198200,29.448982,79139
2010-04-07,32.518826,32.742287,32.154480,32.625698,29.839977,124415
2010-04-08,32.203060,32.752003,32.203060,32.455669,29.684469,272915
2010-04-09,32.839447,33.130920,32.071896,32.708282,29.915516,172275
2010-04-12,32.926888,34.491135,32.747147,34.257954,31.332867,450420
2010-04-13,34.015060,35.258682,33.334953,34.325966,31.395073,390991
2010-04-15,34.491135,34.491135,33.427254,33.543842,30.679726,233701
2010-04-16,33.130920,36.239979,33.130920,35.797913,32.741333,1158420
2010-04-19,35.511295,37.104687,34.005344,36.424580,33.314499,611292
2010-04-20,36.633469,38.814671,36.628613,37.488461,34.287537,2103148
2010-04-21,37.862522,39.125576,37.114403,38.843819,35.527172,732414
2010-04-22,38.863251,39.315037,37.993683,39.154724,35.811535,524516
2010-04-23,39.251881,39.737675,38.494049,39.470490,36.100334,208742
2010-04-26,39.635658,40.223461,38.974979,39.693951,36.304714,196679
2010-04-27,39.873695,41.185329,39.290745,40.762691,37.282204,362923
2010-04-28,40.320621,41.530239,39.737675,40.859848,37.371063,565202
2010-04-29,39.839687,41.486519,39.839687,41.350498,37.819824,304338
2010-04-30,41.870293,43.332523,40.820988,41.661404,38.104183,348432
