Date,Open,High,Low,Close,Adj Close,Volume
2010-02-17,380.899994,388.450012,378.049988,387.100006,136.253326,3451297
2010-02-18,388.850006,388.899994,378.100006,383.899994,135.127014,2279344
2010-02-19,375.000000,381.100006,367.200012,373.549988,131.483932,4115962
2010-02-22,379.000000,381.350006,363.549988,365.899994,128.791260,2736539
2010-02-23,363.950012,379.850006,363.649994,377.750000,132.962265,3649303
2010-02-24,373.000000,381.899994,368.250000,377.000000,132.698303,3359061
2010-02-25,379.600006,383.950012,372.700012,380.850006,134.053452,4174831
2010-02-26,380.000000,404.950012,377.000000,400.350006,140.917145,7091910
2010-03-02,405.000000,419.950012,405.000000,417.649994,147.006500,5013243
2010-03-03,419.000000,429.500000,418.100006,427.100006,150.332718,4464826
2010-03-04,428.000000,460.000000,425.200012,456.649994,160.733902,11531310
2010-03-05,460.000000,462.000000,443.649994,447.350006,157.460434,9000792
2010-03-08,454.000000,455.700012,440.500000,444.850006,156.580475,4126368
2010-03-09,444.500000,449.799988,434.200012,440.299988,154.978989,5738194
2010-03-10,445.000000,446.000000,434.500000,438.250000,154.257355,3358839
2010-03-11,437.950012,442.000000,427.149994,428.899994,150.966324,3581131
2010-03-12,429.899994,437.899994,427.250000,433.000000,152.409439,3962253
2010-03-15,432.000000,444.399994,428.950012,437.450012,153.975739,4415527
2010-03-16,438.000000,442.700012,437.350006,440.100006,154.908539,2847877
2010-03-17,442.000000,450.450012,442.000000,444.950012,156.615692,3634202
2010-03-18,446.500000,447.000000,435.700012,437.350006,153.940567,3196139
2010-03-19,438.799988,454.399994,437.350006,452.200012,159.167587,5475336
2010-03-22,400.000000,463.950012,400.000000,445.250000,156.721252,6889154
2010-03-23,449.000000,454.000000,445.649994,448.850006,157.988434,4151276
2010-03-25,451.000000,456.299988,449.200012,451.950012,159.079575,4562165
2010-03-26,454.000000,458.799988,450.500000,455.399994,160.293900,2344992
2010-03-29,460.000000,462.000000,452.100006,455.600006,160.364288,2243330
2010-03-30,458.000000,460.000000,452.399994,457.350006,160.980301,8294588
2010-03-31,460.000000,473.950012,458.899994,470.450012,165.591278,6909674
2010-04-01,471.000000,477.399994,465.100006,470.399994,165.573685,3677751
2010-04-05,480.000000,480.000000,469.000000,474.100006,166.876007,2080899
2010-04-06,485.000000,485.000000,473.250000,475.200012,167.263229,2022485
2010-04-07,477.000000,483.899994,474.500000,480.000000,168.952698,3418997
2010-04-08,481.000000,494.000000,475.399994,490.649994,172.701385,5841012
2010-04-09,495.000000,495.000000,465.000000,468.750000,164.992874,6862220
2010-04-12,470.000000,472.500000,454.200012,456.049988,160.522690,5690153
2010-04-13,455.149994,467.649994,454.299988,455.950012,160.487518,4311744
2010-04-15,457.000000,465.000000,456.000000,458.100006,161.244263,3299317
2010-04-16,458.500000,473.000000,454.500000,471.549988,165.978470,5245770
2010-04-19,467.000000,473.899994,456.399994,459.350006,161.684296,10048733
2010-04-20,465.000000,467.850006,455.100006,456.200012,160.575531,6291904
2010-04-21,461.200012,465.799988,458.000000,461.750000,162.529007,3283223
2010-04-22,460.700012,465.899994,456.000000,457.149994,160.909836,3504540
2010-04-23,456.000000,456.899994,439.649994,441.500000,155.401276,5927740
2010-04-26,442.000000,448.399994,437.500000,440.500000,155.049347,3962290
2010-04-27,438.100006,445.500000,429.149994,431.200012,151.775909,7825810
2010-04-28,423.399994,434.750000,418.100006,427.850006,150.596741,5052296
2010-04-29,430.000000,434.899994,423.500000,425.649994,149.822388,5573264
2010-04-30,430.000000,435.799988,426.450012,428.950012,150.983902,4305872
2010-05-03,426.899994,426.899994,400.700012,402.200012,141.568329,6210408
2010-05-04,405.000000,409.899994,384.000000,385.649994,135.742966,8087716
2010-05-05,379.750000,404.799988,368.000000,398.350006,140.213196,13390606
2010-05-06,399.299988,403.000000,382.700012,392.600006,138.189285,12165595
2010-05-07,382.700012,397.899994,380.100006,390.600006,137.485260,8689898
2010-05-10,395.100006,413.000000,394.000000,411.299988,144.771362,6340466
2010-05-11,414.000000,416.750000,398.799988,400.649994,141.022781,4896751
2010-05-12,401.000000,408.799988,396.600006,404.600006,142.413071,6243412
2010-05-13,406.799988,410.899994,392.500000,394.649994,138.910812,4179672
2010-05-14,391.000000,392.000000,372.750000,374.700012,131.888718,5846814
2010-05-17,368.000000,391.450012,358.000000,389.600006,137.133286,9777445
2010-05-18,386.000000,391.000000,365.149994,368.549988,129.723999,7534195
2010-05-19,363.600006,373.500000,356.000000,359.100006,126.397758,7926763
2010-05-20,360.000000,366.399994,345.250000,351.149994,123.599487,9351574
2010-05-21,343.000000,345.100006,330.149994,340.649994,119.903648,8792062
2010-05-24,345.649994,352.399994,335.250000,338.399994,119.111664,5113292
2010-05-25,332.000000,335.700012,306.799988,309.100006,108.798553,9706397
2010-05-26,311.000000,327.899994,303.899994,325.250000,114.483078,19655645
2010-05-27,325.500000,342.000000,316.450012,337.299988,118.724472,18748955
2010-05-28,344.750000,375.500000,344.750000,373.750000,131.554352,19384774
2010-05-31,375.000000,384.850006,361.500000,381.899994,134.423004,15813201
2010-06-01,382.000000,382.000000,360.399994,362.149994,127.471336,8987150
2010-06-02,365.000000,374.600006,361.250000,373.000000,131.290359,7983929
2010-06-03,378.200012,387.600006,375.500000,381.600006,134.317413,9799455
2010-06-04,382.000000,382.000000,368.000000,369.200012,129.952774,6607763
2010-06-07,340.000000,364.000000,335.549988,347.350006,122.261932,7970100
2010-06-08,345.100006,353.799988,337.000000,339.649994,119.551651,9296383
2010-06-09,338.100006,352.500000,335.299988,348.799988,122.772308,12973469
2010-06-10,351.950012,355.399994,345.100006,354.100006,124.637833,6660553
2010-06-11,359.500000,361.799988,352.000000,353.950012,124.585060,4894941
2010-06-14,355.899994,356.950012,350.750000,353.750000,124.514656,5410624
2010-06-15,354.000000,358.950012,348.100006,352.149994,123.951462,6499360
2010-06-16,356.000000,362.799988,352.899994,354.350006,124.725830,5658133
2010-06-17,354.500000,363.950012,346.500000,360.049988,126.732178,7103757
2010-06-18,360.500000,366.700012,351.000000,353.700012,124.497047,5159497
2010-06-21,357.250000,389.700012,357.250000,387.850006,136.517334,17655590
2010-06-22,385.299988,387.000000,372.600006,375.700012,132.240723,9964603
2010-06-23,371.000000,387.000000,366.850006,375.250000,132.082321,8787055
2010-06-24,376.450012,385.600006,376.250000,379.700012,133.648651,12769239
2010-06-25,370.700012,380.000000,366.000000,367.399994,129.319214,5163468
2010-06-28,370.000000,372.700012,367.700012,370.149994,130.287216,3388327
2010-06-29,370.000000,372.000000,354.250000,355.799988,125.236206,5313619
2010-06-30,350.000000,354.950012,345.100006,352.649994,124.127472,7452276
2010-07-01,350.000000,353.750000,347.100006,351.600006,123.757851,4326502
2010-07-02,351.000000,353.700012,345.200012,346.899994,123.242722,4861360
2010-07-05,346.899994,351.700012,343.149994,346.799988,123.207207,2379447
2010-07-06,348.600006,358.200012,347.149994,357.149994,126.884247,5008130
2010-07-07,356.049988,358.600006,346.049988,347.049988,123.296028,4412078
2010-07-08,352.000000,357.399994,349.200012,350.600006,124.557243,4434139
2010-07-09,353.000000,356.299988,350.700012,352.299988,125.161179,3143741
2010-07-12,355.000000,359.450012,353.200012,355.799988,126.404617,3415300
2010-07-13,357.500000,363.700012,347.000000,358.000000,127.186241,10246112
2010-07-14,362.000000,363.000000,350.000000,351.350006,124.823692,4912323
2010-07-15,349.000000,352.500000,338.149994,339.649994,120.667023,7057087
2010-07-16,339.000000,344.500000,337.200012,343.250000,121.946030,4799001
2010-07-19,341.700012,352.000000,341.000000,348.350006,123.757851,4994991
2010-07-20,354.500000,359.899994,352.500000,353.850006,125.711868,6671538
2010-07-21,355.000000,366.899994,355.000000,365.549988,129.868500,8970662
2010-07-22,367.899994,368.850006,360.500000,366.750000,130.294815,5551618
2010-07-23,369.700012,373.299988,363.200012,364.899994,129.637573,3782660
2010-07-26,364.250000,368.899994,360.149994,366.100006,130.063934,2795391
2010-07-27,370.000000,376.000000,363.500000,368.299988,130.845490,7263319
2010-07-28,369.000000,374.399994,365.350006,372.450012,132.319855,5033531
2010-07-29,370.399994,373.500000,365.000000,369.500000,131.271790,2938143
2010-07-30,368.000000,372.350006,360.000000,361.250000,128.340851,3776718
2010-08-02,364.000000,366.899994,357.250000,361.649994,128.482956,3280899
2010-08-03,364.000000,371.500000,364.000000,369.950012,131.431686,3757837
2010-08-04,374.799988,374.799988,365.500000,372.149994,132.213287,3868511
2010-08-05,375.000000,375.000000,366.250000,367.100006,130.419159,2930196
2010-08-06,367.100006,370.549988,362.750000,364.350006,129.442200,3006315
2010-08-09,365.000000,374.899994,364.500000,373.250000,132.604080,3046140
2010-08-10,374.899994,384.000000,371.500000,377.000000,133.936325,5318712
2010-08-11,375.750000,378.950012,369.549988,370.399994,131.591568,1922141
2010-08-12,365.000000,369.549988,346.700012,352.649994,125.285545,5530974
2010-08-13,350.000000,357.950012,350.000000,353.600006,125.623047,2083411
2010-08-16,350.000000,356.000000,319.700012,322.000000,114.396561,16422295
2010-08-17,323.000000,327.950012,311.500000,318.700012,113.224152,13350486
2010-08-18,318.700012,324.450012,315.299988,321.850006,114.343269,7488241
2010-08-19,325.000000,333.899994,323.299988,328.649994,116.759079,6759115
2010-08-20,328.000000,333.000000,325.000000,328.500000,116.705811,3935626
2010-08-23,330.000000,332.750000,326.000000,327.450012,116.332764,2690533
2010-08-24,329.899994,330.500000,320.500000,325.000000,115.462341,3592643
2010-08-25,322.350006,329.500000,317.200012,322.299988,114.503113,4027961
2010-08-26,324.350006,327.500000,318.700012,320.950012,114.023544,3850336
2010-08-27,322.000000,325.500000,316.549988,317.950012,112.957710,3107872
2010-08-30,325.000000,325.000000,315.100006,317.799988,112.904396,2768624
2010-08-31,316.100006,319.299988,313.600006,317.799988,112.904396,3162087
2010-09-01,320.000000,327.000000,317.600006,325.799988,115.746544,3418644
2010-09-02,327.000000,330.500000,321.700012,323.149994,114.805084,3423848
2010-09-03,323.149994,325.350006,316.100006,317.049988,112.637962,3156484
2010-09-06,319.000000,322.350006,318.000000,320.600006,113.899193,3038859
2010-09-07,325.000000,325.000000,318.000000,319.549988,113.526138,3530212
2010-09-08,318.000000,320.899994,314.100006,315.100006,111.945206,3626690
2010-09-09,317.350006,317.750000,308.200012,311.399994,110.630714,4147359
2010-09-13,312.399994,325.500000,312.399994,323.149994,114.805084,5417973
2010-09-14,325.600006,329.750000,317.500000,319.149994,113.384026,5133744
2010-09-15,318.750000,325.399994,318.750000,323.000000,114.751831,5596079
2010-09-16,325.000000,328.600006,321.000000,322.049988,114.414307,3708822
2010-09-17,322.299988,327.000000,322.000000,325.049988,115.480118,3271397
2010-09-20,325.000000,339.250000,323.049988,335.750000,119.281487,7296666
2010-09-21,337.500000,342.799988,336.100006,338.799988,120.365059,6191353
2010-09-22,340.000000,343.399994,330.500000,334.950012,118.997292,4087467
2010-09-23,335.750000,338.399994,331.500000,334.049988,118.677544,2270759
2010-09-24,333.000000,336.850006,332.799988,334.700012,118.908470,1644147
2010-09-27,336.600006,340.399994,336.000000,337.000000,119.725563,2376688
2010-09-28,337.000000,338.000000,331.500000,333.700012,118.553215,1594689
2010-09-29,334.950012,335.600006,324.549988,328.549988,116.723549,2531364
2010-09-30,328.000000,336.500000,325.000000,328.200012,116.599197,5522087
2010-10-01,330.000000,346.799988,330.000000,345.049988,122.585472,5034281
2010-10-04,347.299988,365.399994,347.200012,363.350006,129.086914,7681515
2010-10-05,363.350006,366.000000,359.100006,362.000000,128.607285,3227111
2010-10-06,370.000000,374.399994,363.799988,367.100006,130.419159,4979011
2010-10-07,370.000000,370.000000,352.000000,354.200012,125.836220,3998129
2010-10-08,360.000000,360.000000,345.250000,350.149994,124.397331,3927446
2010-10-11,355.000000,359.500000,352.200012,357.149994,126.884247,2853794
2010-10-12,357.450012,357.450012,346.950012,351.700012,124.948013,2629788
2010-10-13,354.600006,359.950012,350.399994,359.149994,127.594803,3745356
2010-10-14,357.750000,377.799988,357.750000,374.899994,133.190262,7848437
2010-10-15,377.000000,383.649994,372.100006,374.200012,132.941589,4528788
2010-10-18,377.799988,379.000000,360.200012,372.399994,132.302094,4490537
2010-10-19,371.049988,380.850006,357.100006,359.299988,127.648079,6670930
2010-10-20,355.299988,357.649994,346.649994,348.200012,123.704575,4228868
